rentree_scolaire;academie;code_du_departement;departement;uai;nom;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0770940D;LYCEE POLYVALENT ETIENNE BEZOUT;77333;NEMOURS;public;LPO;103.3
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771171E;LYCEE PROFESSIONNEL LOUIS LUMIERE LYCEE DES METIERS DE L ELECTRICITE LYCEE DES METIERS DU COMMERCE;77108;CHELLES;public;LP;82.2
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771200L;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE BLANCHE DE CASTILLE;77186;FONTAINEBLEAU;privé sous contrat;LPO;113.3
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;77288;MELUN;privé sous contrat;LPO;127.6
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771658J;LYCEE POLYVALENT DU GUE A TRESMES LYCEE DES METIERS DE L HOTELLERIE ET RESTAURATION / DES ARTS ET DESIGN / DE L AMENAGEMENT ET FINITION DU BATIMENT;77126;CONGIS SUR THEROUANNE;public;LPO;98.6
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772153X;LYCEE POLYVALENT PRIVE JEAN ROSE;77284;MEAUX;privé sous contrat;LPO;113
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772228D;LYCEE POLYVALENT CHARLES DE GAULLE LYCEE DES METIERS DE LA SANTE ET DU TRAVAIL SOCIAL;77259;LONGPERRIER;public;LPO;106.7
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772276F;LYCEE POLYVALENT JEHAN DE CHELLES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;77108;CHELLES;public;LPO;103.6
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772277G;LYCEE POLYVALENT HENRI BECQUEREL;77327;NANGIS;public;LPO;90.1
2018-2019;VERSAILLES;78;YVELINES;0781297L;LYCEE GENERAL ET TECHNOLOGIQUE PLAINE DE NEAUPHLE;78621;TRAPPES;public;LEGT;85.4
2018-2019;VERSAILLES;78;YVELINES;0781582W;LYCEE PROFESSIONNEL PRIVE NOTRE DAME DU GRANDCHAMP;78646;VERSAILLES;privé sous contrat;LP;122.6
2018-2019;VERSAILLES;78;YVELINES;0781861Z;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS DE BROGLIE;78372;MARLY LE ROI;public;LEGT;145.6
2018-2019;VERSAILLES;78;YVELINES;0781899R;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT FRANCOIS D ASSISE;78423;MONTIGNY LE BRETONNEUX;privé sous contrat;LEGT;148.5
2018-2019;VERSAILLES;78;YVELINES;0781949V;LYCEE GENERAL ET TECHNOLOGIQUE DE VILLAROY;78297;GUYANCOURT;public;LEGT;128.2
2018-2019;VERSAILLES;78;YVELINES;0782539L;LYCEE GENERAL ET TECHNOLOGIQUE SAINT EXUPERY;78361;MANTES LA JOLIE;public;LEGT;99.9
